analyst,Beta,Timestamp,,,,
Analyst1,543113,38:27.1,,,,
Analyst1,478984,38:30.2,,,,
Analyst1,345751,38:33.2,,,,
Analyst1,521034,38:36.2,,,,
Analyst1,523796,38:39.3,,,,
Analyst1,465537,38:43.1,,,,
Analyst1,451947,38:46.1,,,,
Analyst1,485779,38:49.1,,,,
Analyst1,464146,38:52.1,,,,
Analyst1,389462,38:55.1,,,,
Analyst1,357771,38:58.2,,,,
Analyst1,577547,39:01.2,,,,
Analyst1,343146,39:04.2,,,,
Analyst1,369331,39:07.2,,,,
Analyst1,477192,39:10.3,,,,
Analyst1,354842,39:13.3,,,,
Analyst1,328504,39:16.3,,,,
Analyst1,448476,39:19.3,,,,
Analyst1,430230,39:22.3,,,,
Analyst1,354722,39:25.4,,,,
Analyst1,318588,39:28.4,,,,
Analyst1,597299,39:31.4,,,,
Analyst1,821657,39:34.4,,,,
Analyst1,845269,39:37.4,,,,
Analyst1,839381,39:40.4,,,,
Analyst1,995991,39:43.4,,,,
Analyst1,936570,39:46.5,,,,
Analyst1,894742,39:49.5,,,,
Analyst1,940548,39:52.5,,,,
Analyst1,854746,39:55.5,,,,
Analyst1,931762,39:58.5,,,,
Analyst1,815187,40:01.5,,,,
Analyst1,901296,40:04.5,,,,
Analyst1,842899,40:07.6,,,,
Analyst1,908387,40:10.6,,,,
Analyst1,917870,40:13.6,,,,
Analyst1,831673,40:16.6,,,,
Analyst1,924941,40:19.6,,,,
Analyst1,878645,40:22.6,,,,
Analyst1,964002,40:25.7,,,,
Analyst1,866274,40:28.7,,,,
Analyst1,927466,40:31.7,,,,
Analyst1,838738,40:34.7,,,,
Analyst1,828645,40:37.8,,,,
Analyst1,901896,40:40.8,,,,
Analyst1,940178,40:43.8,,,,
Analyst1,805391,40:46.8,,,,
Analyst1,953682,40:49.8,,,,
Analyst1,955883,40:52.9,,,,
Analyst1,910315,40:55.9,,,,
Analyst1,902331,40:58.9,,,,
Analyst1,938002,41:01.9,,,,
Analyst1,823048,41:04.9,,,,
Analyst1,884418,41:08.0,,,,
Analyst1,891912,41:11.0,,,,
Analyst1,951282,41:14.0,,,,
Analyst1,854814,41:17.0,,,,
Analyst1,916549,41:23.1,,,,
Analyst1,984917,41:26.1,,,,
Analyst1,851555,41:29.1,,,,
Analyst1,808621,41:32.1,,,,
Analyst1,821702,41:35.1,,,,
Analyst1,809802,41:38.2,,,,
Analyst1,992537,41:41.2,,,,
Analyst1,916540,41:44.2,,,,
Analyst1,955842,41:47.2,,,,
Analyst1,951173,41:50.2,,,,
Analyst1,923294,41:53.2,,,,
Analyst1,821811,41:56.3,,,,
Analyst1,837477,41:59.3,,,,
Analyst1,954214,42:02.4,,,,
Analyst1,872459,42:05.4,,,,
Analyst1,975707,42:08.4,,,,
Analyst1,845008,42:11.4,,,,
Analyst1,817917,42:14.4,,,,
Analyst1,876718,42:17.4,,,,
Analyst1,895931,42:20.5,,,,
Analyst1,921047,42:23.5,,,,
Analyst1,879842,42:26.5,,,,
Analyst1,956904,42:29.5,,,,
Analyst1,878977,42:32.5,,,,
Analyst1,816354,42:36.0,,,,
Analyst1,879658,42:38.5,,,,
Analyst1,921755,42:41.6,,,,
Analyst1,858857,42:44.6,,,,
Analyst1,838667,42:47.6,,,,
Analyst1,807135,42:50.6,,,,
Analyst1,960956,42:53.6,,,,
Analyst1,882482,42:56.6,,,,
Analyst1,983762,42:59.7,,,,
Analyst1,995678,43:02.7,,,,
Analyst1,958968,43:05.7,,,,
Analyst1,901814,43:08.7,,,,
Analyst1,834789,43:11.7,,,,
Analyst1,804110,43:14.8,,,,
Analyst1,848219,43:17.8,,,,
Analyst1,928920,43:20.8,,,,
Analyst1,811473,43:23.8,,,,
Analyst1,827578,43:26.8,,,,
Analyst1,961070,43:29.8,,,,
Analyst1,871301,43:32.9,,,,
Analyst1,808430,43:36.0,,,,
Analyst1,831153,43:38.9,,,,
Analyst1,877721,43:41.9,,,,
Analyst1,893579,43:44.9,,,,
Analyst1,866736,43:47.9,,,,
Analyst1,893096,43:50.9,,,,
Analyst1,964812,43:54.0,,,,
Analyst1,826944,43:57.0,,,,
Analyst1,975400,44:00.0,,,,
Analyst1,929879,44:03.0,,,,
Analyst1,836561,44:06.0,,,,
Analyst1,831733,44:09.0,,,,
Analyst1,942038,44:12.0,,,,
Analyst1,875435,44:15.1,,,,
Analyst1,870140,44:18.1,,,,
Analyst1,846642,44:21.1,,,,
Analyst1,985598,44:24.1,,,,
Analyst1,876447,44:27.1,,,,
Analyst1,954429,44:30.1,,,,
Analyst1,831341,44:33.2,,,,
Analyst1,957079,44:36.2,,,,
Analyst1,567045,55:57.9,,,,
Analyst1,338116,56:00.9,,,,
Analyst1,480862,56:03.9,,,,
Analyst1,544626,56:06.9,,,,
Analyst1,457205,56:09.9,,,,
Analyst1,588053,56:12.9,,,,
Analyst1,313981,56:16.0,,,,
Analyst1,538144,56:19.0,,,,
Analyst1,542671,56:22.0,,,,
Analyst1,482450,56:25.0,,,,
Analyst1,455323,56:28.0,,,,
Analyst1,560632,56:31.0,,,,
Analyst1,537521,56:34.0,,,,
Analyst1,351927,56:37.0,,,,
Analyst1,345297,56:40.1,,,,
Analyst1,505412,56:44.1,,,,
Analyst1,335306,56:47.9,,,,
Analyst1,466768,56:50.9,,,,
Analyst1,450517,56:53.9,,,,
Analyst1,523461,56:56.9,,,,
Analyst1,333582,56:59.9,,,,
Analyst1,477671,57:02.9,,,,
Analyst1,356971,57:05.9,,,,
Analyst1,494468,57:09.0,,,,
Analyst1,369534,57:12.0,,,,
Analyst1,368828,57:15.0,,,,
Analyst1,535828,57:18.0,,,,
Analyst1,433698,57:21.0,,,,
Analyst1,452872,57:24.0,,,,
Analyst1,516291,57:27.0,,,,
Analyst1,327026,57:30.0,,,,
Analyst1,376378,57:33.1,,,,
Analyst1,537233,57:36.1,,,,
Analyst1,441905,57:39.1,,,,
Analyst1,508939,57:42.1,,,,
Analyst1,515057,57:45.1,,,,
Analyst1,533138,57:48.1,,,,
Analyst1,537714,57:51.1,,,,
Analyst1,403100,57:54.1,,,,
Analyst1,303803,57:57.1,,,,
Analyst1,923620,58:00.2,,,,
Analyst1,898518,58:03.2,,,,
Analyst1,869070,58:06.2,,,,
Analyst1,928895,58:09.2,,,,
Analyst1,906164,58:12.2,,,,
Analyst1,882699,58:15.2,,,,
Analyst1,913192,58:18.2,,,,
Analyst1,937932,58:21.3,,,,
Analyst1,957323,58:24.3,,,,
Analyst1,999200,58:27.3,,,,
Analyst1,811422,58:30.3,,,,
Analyst1,947862,58:33.3,,,,
Analyst1,960533,58:36.4,,,,
Analyst1,899158,58:39.4,,,,
Analyst1,933801,58:42.4,,,,
Analyst1,929593,58:45.4,,,,
Analyst1,975400,58:48.4,,,,
Analyst1,871851,58:51.4,,,,
Analyst1,998322,58:54.4,,,,
Analyst1,960851,58:57.5,,,,
Analyst1,955459,59:00.5,,,,
Analyst1,934883,59:03.5,,,,
Analyst1,824169,59:06.5,,,,
Analyst1,938663,59:09.5,,,,
Analyst1,819589,59:12.5,,,,
Analyst1,856162,59:15.6,,,,
Analyst1,869650,59:18.6,,,,
Analyst1,824038,59:21.6,,,,
Analyst1,803954,59:24.6,,,,
Analyst1,888681,59:27.6,,,,
Analyst1,838450,59:30.6,,,,
Analyst1,891293,59:33.6,,,,
Analyst1,887899,59:36.7,,,,
Analyst1,839106,59:39.7,,,,
Analyst1,948059,59:42.7,,,,
Analyst1,856570,59:45.7,,,,
Analyst1,911778,59:48.7,,,,
Analyst1,866234,59:51.7,,,,
Analyst1,919342,59:54.7,,,,
Analyst1,917040,59:57.7,,,,
Analyst1,941811,00:00.8,,,,
Analyst1,950024,00:03.8,,,,
Analyst1,806510,00:06.8,,,,
Analyst1,959676,00:09.8,,,,
Analyst1,937915,00:12.8,,,,
Analyst1,923046,00:15.8,,,,
Analyst1,958953,00:18.8,,,,
Analyst1,806966,00:21.9,,,,
Analyst1,934307,00:24.9,,,,
Analyst1,878759,00:27.9,,,,
Analyst1,832147,00:30.9,,,,
Analyst1,971479,00:33.9,,,,
Analyst1,962690,00:36.9,,,,
Analyst1,891568,00:39.9,,,,
Analyst1,916954,00:42.9,,,,
Analyst1,831322,00:45.9,,,,
Analyst1,988602,00:49.0,,,,
Analyst1,859488,00:53.0,,,,
Analyst1,924055,00:56.3,,,,
Analyst1,850722,00:59.3,,,,
Analyst1,914365,01:02.3,,,,
Analyst1,999268,01:05.3,,,,
Analyst1,965492,01:08.3,,,,
Analyst1,875213,01:11.3,,,,
Analyst1,897301,01:14.4,,,,
Analyst1,957811,01:17.4,,,,
Analyst1,835360,01:20.4,,,,
Analyst1,820745,01:23.4,,,,
Analyst1,931630,01:26.4,,,,
Analyst1,931810,01:29.4,,,,
Analyst1,881985,01:32.4,,,,
Analyst1,809770,01:35.4,,,,
Analyst1,856492,01:38.4,,,,
Analyst1,987687,01:41.4,,,,
Analyst1,803383,01:44.5,,,,
Analyst1,884147,01:47.5,,,,
Analyst1,854818,01:50.5,,,,
Analyst1,921105,01:53.5,,,,
Analyst1,814023,01:56.5,,,,
Analyst1,880677,01:59.6,,,,
Analyst1,918865,02:02.6,,,,
Analyst1,847154,02:05.6,,,,
Analyst1,826736,02:08.6,,,,
Analyst1,966876,02:11.6,,,,
Analyst1,959151,02:14.6,,,,
Analyst1,924155,02:17.6,,,,
Analyst1,845320,02:20.6,,,,
Analyst1,938941,02:23.6,,,,
Analyst1,979897,02:26.6,,,,
Analyst1,905941,02:29.7,,,,
Analyst1,884049,02:32.7,,,,
Analyst1,817773,02:35.7,,,,
Analyst1,841249,02:38.7,,,,
Analyst1,879412,02:41.7,,,,
Analyst1,971564,02:44.7,,,,
Analyst1,936077,02:47.7,,,,
Analyst1,801406,02:50.7,,,,
Analyst1,840704,02:53.8,,,,
Analyst1,926795,02:57.5,,,,
Analyst1,872405,03:00.6,,,,
Analyst1,804281,03:03.6,,,,
Analyst1,961548,03:06.6,,,,
Analyst1,972351,03:09.6,,,,
Analyst1,936056,03:12.6,,,,
