analyst,highBeta,newtime,
Analyst4,464446,53:10.8,
Analyst4,572172,53:13.8,
Analyst4,595962,53:16.8,
Analyst4,436122,53:19.8,
Analyst4,501776,53:22.9,
Analyst4,536204,53:25.9,
Analyst4,410254,53:31.3,
Analyst4,484445,53:34.3,
Analyst4,423563,53:37.3,
Analyst4,436511,53:40.3,
Analyst4,583822,53:43.3,
Analyst4,407344,53:46.3,
Analyst4,408660,53:49.4,
Analyst4,423246,53:52.4,
Analyst4,429273,53:55.4,
Analyst4,566055,53:58.4,
Analyst4,490741,54:01.4,
Analyst4,552540,54:04.4,
Analyst4,885555,54:07.4,
Analyst4,855235,54:10.4,
Analyst4,862535,54:13.4,
Analyst4,637045,54:16.4,
Analyst4,681213,54:19.4,
Analyst4,918962,54:22.4,
Analyst4,851824,54:25.5,
Analyst4,829341,54:29.5,
Analyst4,776510,54:32.5,
Analyst4,822141,54:35.5,
Analyst4,668952,54:38.5,
Analyst4,699796,54:41.5,
Analyst4,975460,54:44.5,
Analyst4,642017,54:47.5,
Analyst4,657481,54:50.5,
Analyst4,769546,54:53.5,
Analyst4,740553,54:56.5,
Analyst4,735173,54:59.5,
Analyst4,779636,55:02.5,
Analyst4,701998,55:05.5,
Analyst4,900439,55:08.6,
Analyst4,749834,55:11.6,
Analyst4,991926,55:14.6,
Analyst4,799658,55:17.6,
Analyst4,893326,55:20.6,
Analyst4,951526,55:23.6,
Analyst4,900462,55:26.6,
Analyst4,871908,55:29.6,
Analyst4,864422,55:32.6,
Analyst4,746985,55:35.6,
Analyst4,795073,55:38.6,
Analyst4,642341,55:41.6,
Analyst4,667586,55:45.8,
Analyst4,666187,55:48.8,
Analyst4,674582,55:51.8,
Analyst4,670453,55:54.8,
Analyst4,873782,55:57.8,
Analyst4,617912,56:00.8,
Analyst4,794243,56:03.8,
Analyst4,931513,56:06.8,
Analyst4,818212,56:09.8,
Analyst4,977162,56:12.8,
Analyst4,977109,56:15.8,
Analyst4,846194,56:18.8,
Analyst4,711053,56:21.9,
Analyst4,923317,56:24.9,
Analyst4,712237,56:27.9,
Analyst4,695395,56:30.9,
Analyst4,851057,56:33.9,
Analyst4,735605,56:36.9,
Analyst4,787440,56:39.9,
Analyst4,648771,56:42.9,
Analyst4,790342,56:45.9,
Analyst4,619952,56:48.9,
Analyst4,726919,56:51.9,
Analyst4,639572,56:54.9,
Analyst4,713872,56:57.9,
Analyst4,653296,57:00.9,
Analyst4,812984,57:04.0,
Analyst4,894668,57:07.0,
Analyst4,996730,57:10.0,
Analyst4,770552,57:13.0,
Analyst4,676386,57:16.0,
Analyst4,895056,57:19.0,
Analyst4,631717,57:22.0,
Analyst4,994469,57:25.0,
Analyst4,791407,57:28.0,
Analyst4,915879,57:31.0,
Analyst4,923809,57:34.0,
Analyst4,982502,57:37.0,
Analyst4,905169,57:40.0,
Analyst4,689828,57:43.0,
Analyst4,821282,57:46.0,
Analyst4,884762,57:49.0,
Analyst4,974911,57:52.1,
Analyst4,954052,57:55.1,
Analyst4,719219,57:58.1,
Analyst4,630920,58:01.1,
Analyst4,856200,58:04.1,
Analyst4,775075,58:07.1,
Analyst4,949622,58:10.1,
Analyst4,645278,58:13.1,
Analyst4,725121,58:16.1,
Analyst4,981168,58:19.1,
Analyst4,676661,58:22.1,
Analyst4,704729,58:25.1,
Analyst4,727814,58:28.1,
Analyst4,952129,58:31.1,
Analyst4,745782,58:34.1,
Analyst4,763390,58:37.1,
Analyst4,967830,58:40.1,
Analyst4,968615,58:43.2,
Analyst4,969344,58:46.0,
Analyst4,913523,58:49.2,
Analyst4,770410,58:52.2,
Analyst4,755753,58:55.2,
Analyst4,881979,58:58.2,
Analyst4,630865,59:01.2,
