analyst,Beta,newtime,,,,,
Analyst2,843777,08:30.3,,,,,
Analyst2,752088,08:33.3,,,,,
Analyst2,888147,08:36.3,,,,,
Analyst2,883331,08:39.3,,,,,
Analyst2,638346,08:42.3,,,,,
Analyst2,700529,08:45.3,,,,,
Analyst2,966961,08:48.4,,,,,
Analyst2,859864,08:51.4,,,,,
Analyst2,838141,08:54.4,,,,,
Analyst2,732942,08:57.5,,,,,
Analyst2,855289,09:00.5,,,,,
Analyst2,952483,09:03.5,,,,,
Analyst2,642808,09:06.5,,,,,
Analyst2,752994,09:09.5,,,,,
Analyst2,901316,09:14.0,,,,,
Analyst2,993251,09:17.1,,,,,
Analyst2,842549,09:20.1,,,,,
Analyst2,759304,09:23.1,,,,,
Analyst2,868867,09:26.1,,,,,
Analyst2,683906,09:29.1,,,,,
Analyst2,818254,09:32.1,,,,,
Analyst2,980051,09:35.1,,,,,
Analyst2,857639,09:38.1,,,,,
Analyst2,915494,09:41.2,,,,,
Analyst2,668487,09:44.2,,,,,
Analyst2,830460,09:47.2,,,,,
Analyst2,664695,09:50.2,,,,,
Analyst2,912663,09:53.2,,,,,
Analyst2,855113,09:56.2,,,,,
Analyst2,889110,09:59.2,,,,,
Analyst2,650634,10:02.3,,,,,
Analyst2,849864,10:05.3,,,,,
Analyst2,975783,10:08.3,,,,,
Analyst2,898822,10:11.3,,,,,
Analyst2,657707,10:14.3,,,,,
Analyst2,617867,10:17.3,,,,,
Analyst2,823141,10:20.3,,,,,
Analyst2,980847,10:23.3,,,,,
Analyst2,675245,10:26.4,,,,,
Analyst2,802065,10:29.4,,,,,
Analyst2,959872,10:32.4,,,,,
Analyst2,646586,10:35.4,,,,,
Analyst2,872640,10:38.4,,,,,
Analyst2,868877,10:41.4,,,,,
Analyst2,933224,10:44.4,,,,,
Analyst2,959997,10:47.5,,,,,
Analyst2,845209,10:50.5,,,,,
Analyst2,719684,10:53.5,,,,,
Analyst2,658286,10:56.5,,,,,
Analyst2,789202,10:59.5,,,,,
Analyst2,968237,11:02.5,,,,,
Analyst2,612395,11:05.5,,,,,
Analyst2,619625,11:08.5,,,,,
Analyst2,740081,11:11.5,,,,,
Analyst2,952646,11:14.5,,,,,
Analyst2,926062,11:17.5,,,,,
Analyst2,874447,11:20.6,,,,,
Analyst2,725536,11:23.6,,,,,
Analyst2,719479,11:26.6,,,,,
Analyst2,764664,11:29.6,,,,,
Analyst2,611298,11:32.7,,,,,
Analyst2,856035,11:35.7,,,,,
Analyst2,823534,11:38.7,,,,,
Analyst2,771240,11:41.7,,,,,
Analyst2,849369,11:44.7,,,,,
Analyst2,907135,11:47.7,,,,,
Analyst2,878572,11:50.7,,,,,
Analyst2,897101,11:53.7,,,,,
Analyst2,805593,11:56.7,,,,,
Analyst2,691225,11:59.7,,,,,
Analyst2,914569,12:02.8,,,,,
Analyst2,920116,12:05.8,,,,,
Analyst2,733288,12:08.8,,,,,
Analyst2,793720,12:11.8,,,,,
Analyst2,919578,12:14.8,,,,,
Analyst2,798375,12:17.8,,,,,
Analyst2,738765,12:21.0,,,,,
Analyst2,857523,12:24.0,,,,,
Analyst2,596743,33:51.4,,,,,
Analyst2,481711,33:54.4,,,,,
Analyst2,460624,33:57.4,,,,,
Analyst2,548165,34:00.4,,,,,
Analyst2,532424,34:03.4,,,,,
Analyst2,585134,34:06.4,,,,,
Analyst2,471522,34:09.4,,,,,
Analyst2,424728,34:12.5,,,,,
Analyst2,527684,34:15.5,,,,,
Analyst2,523564,34:18.5,,,,,
Analyst2,505517,34:21.5,,,,,
Analyst2,416369,34:24.5,,,,,
Analyst2,500317,34:27.6,,,,,
Analyst2,478641,34:30.6,,,,,
Analyst2,483194,34:33.6,,,,,
Analyst2,494535,34:36.6,,,,,
Analyst2,488151,34:39.6,,,,,
Analyst2,565661,34:42.6,,,,,
Analyst2,588414,34:45.6,,,,,
Analyst2,407394,34:48.6,,,,,
Analyst2,584688,34:51.6,,,,,
Analyst2,588303,34:54.6,,,,,
Analyst2,415853,34:57.6,,,,,
Analyst2,575370,35:00.7,,,,,
Analyst2,491705,35:05.2,,,,,
Analyst2,490820,35:08.2,,,,,
Analyst2,508174,35:11.3,,,,,
Analyst2,551841,35:14.3,,,,,
Analyst2,510121,35:17.3,,,,,
Analyst2,472519,35:20.3,,,,,
Analyst2,538067,35:23.3,,,,,
Analyst2,534349,35:26.3,,,,,
Analyst2,568039,35:29.3,,,,,
Analyst2,423231,35:32.3,,,,,
Analyst2,417731,35:35.7,,,,,
Analyst2,484740,35:38.7,,,,,
Analyst2,445394,35:41.7,,,,,
Analyst2,422815,35:44.7,,,,,
Analyst2,585923,35:47.7,,,,,
Analyst2,492605,35:50.7,,,,,
Analyst2,520778,35:53.7,,,,,
Analyst2,630259,35:56.8,,,,,
Analyst2,985355,35:59.8,,,,,
Analyst2,649285,36:02.8,,,,,
Analyst2,884054,36:05.8,,,,,
Analyst2,684628,36:08.8,,,,,
Analyst2,654595,36:11.8,,,,,
Analyst2,955315,36:14.8,,,,,
Analyst2,695563,36:17.9,,,,,
Analyst2,959465,36:20.9,,,,,
Analyst2,665632,36:23.9,,,,,
Analyst2,871791,36:26.9,,,,,
Analyst2,960558,36:29.9,,,,,
Analyst2,998952,36:32.9,,,,,
Analyst2,654597,36:35.9,,,,,
Analyst2,656943,36:38.9,,,,,
Analyst2,960289,36:41.9,,,,,
Analyst2,629410,36:47.0,,,,,
Analyst2,760078,36:50.0,,,,,
Analyst2,864096,36:53.1,,,,,
Analyst2,985433,36:56.1,,,,,
Analyst2,668850,36:59.1,,,,,
Analyst2,666208,37:02.1,,,,,
Analyst2,870641,37:05.1,,,,,
Analyst2,893358,37:09.5,,,,,
Analyst2,641312,37:12.6,,,,,
Analyst2,854851,37:15.6,,,,,
Analyst2,928857,37:18.6,,,,,
Analyst2,613788,37:21.6,,,,,
Analyst2,850401,37:24.6,,,,,
Analyst2,816036,37:27.6,,,,,
Analyst2,683106,37:30.6,,,,,
Analyst2,611394,37:33.6,,,,,
Analyst2,846151,37:36.6,,,,,
Analyst2,741895,37:39.7,,,,,
Analyst2,769106,37:42.7,,,,,
Analyst2,610994,37:45.7,,,,,
Analyst2,747021,37:48.7,,,,,
Analyst2,653377,37:51.7,,,,,
Analyst2,858240,37:54.7,,,,,
Analyst2,813753,37:57.7,,,,,
Analyst2,986613,38:00.7,,,,,
Analyst2,921719,38:03.8,,,,,
Analyst2,970335,38:06.8,,,,,
Analyst2,904681,38:09.8,,,,,
Analyst2,855071,38:12.8,,,,,
Analyst2,869439,38:15.8,,,,,
Analyst2,815145,38:18.8,,,,,
Analyst2,750489,38:21.8,,,,,
Analyst2,631066,38:24.8,,,,,
Analyst2,610570,38:27.8,,,,,
Analyst2,973559,38:30.8,,,,,
Analyst2,646126,38:33.9,,,,,
Analyst2,747100,38:36.9,,,,,
Analyst2,929885,38:39.9,,,,,
Analyst2,749884,38:42.9,,,,,
Analyst2,883844,38:45.9,,,,,
Analyst2,626485,38:48.9,,,,,
Analyst2,963051,38:51.9,,,,,
Analyst2,953835,38:55.0,,,,,
Analyst2,818913,38:58.0,,,,,
Analyst2,999661,39:01.0,,,,,
Analyst2,856348,39:04.0,,,,,
Analyst2,913822,39:07.0,,,,,
Analyst2,623990,39:10.0,,,,,
Analyst2,611213,39:13.0,,,,,
Analyst2,953044,39:16.0,,,,,
Analyst2,964711,39:19.0,,,,,
Analyst2,977915,39:22.1,,,,,
Analyst2,856821,39:25.1,,,,,
Analyst2,742975,39:28.1,,,,,
Analyst2,967558,39:31.1,,,,,
Analyst2,932536,39:34.1,,,,,
Analyst2,726403,39:37.1,,,,,
Analyst2,900121,39:40.1,,,,,
Analyst2,651151,39:43.1,,,,,
Analyst2,627846,39:46.1,,,,,
Analyst2,886917,39:49.1,,,,,
Analyst2,905733,39:52.2,,,,,
Analyst2,631610,39:55.2,,,,,
Analyst2,860349,39:58.2,,,,,
Analyst2,927211,40:01.2,,,,,
Analyst2,982528,40:04.2,,,,,
Analyst2,880160,40:07.2,,,,,
Analyst2,644078,40:10.2,,,,,
Analyst2,861229,40:13.3,,,,,
Analyst2,870341,40:16.3,,,,,
Analyst2,969085,40:19.3,,,,,
Analyst2,782422,40:22.3,,,,,
Analyst2,786461,40:25.3,,,,,
Analyst2,813033,40:28.3,,,,,
Analyst2,680726,40:31.3,,,,,
Analyst2,769782,40:34.3,,,,,
Analyst2,989926,40:37.3,,,,,
Analyst2,714472,40:40.3,,,,,
Analyst2,801523,40:43.4,,,,,
Analyst2,883899,40:47.7,,,,,
Analyst2,843996,40:50.7,,,,,
Analyst2,998372,40:53.8,,,,,
Analyst2,656020,40:56.8,,,,,
Analyst2,932222,40:59.8,,,,,
Analyst2,759015,41:02.8,,,,,
Analyst2,703358,41:05.8,,,,,
Analyst2,878375,41:08.8,,,,,
Analyst2,651437,41:11.8,,,,,
Analyst2,963711,41:14.8,,,,,
Analyst2,640628,41:17.8,,,,,
Analyst2,648779,41:20.9,,,,,
Analyst2,896683,41:23.9,,,,,
Analyst2,520328,49:26.3,,,,,
Analyst2,545902,49:29.3,,,,,
Analyst2,449109,49:32.3,,,,,
Analyst2,507239,49:38.1,,,,,
Analyst2,500600,49:41.1,,,,,
Analyst2,583998,49:44.1,,,,,
Analyst2,435032,49:47.1,,,,,
Analyst2,490733,49:50.1,,,,,
Analyst2,599547,49:53.1,,,,,
Analyst2,518090,49:56.1,,,,,
Analyst2,556726,49:59.1,,,,,
Analyst2,415656,50:02.2,,,,,
Analyst2,545035,50:05.2,,,,,
Analyst2,581311,50:08.2,,,,,
Analyst2,537581,50:11.2,,,,,
Analyst2,468600,50:14.2,,,,,
Analyst2,503612,50:17.3,,,,,
Analyst2,493310,50:20.3,,,,,
Analyst2,427967,50:23.3,,,,,
Analyst2,467895,50:26.3,,,,,
Analyst2,586307,50:29.3,,,,,
Analyst2,499976,50:32.3,,,,,
Analyst2,458497,50:35.3,,,,,
Analyst2,478171,50:38.4,,,,,
Analyst2,479492,50:41.4,,,,,
Analyst2,411606,50:44.4,,,,,
Analyst2,463963,50:47.4,,,,,
Analyst2,443678,50:50.4,,,,,
Analyst2,423182,50:53.4,,,,,
Analyst2,582951,50:56.5,,,,,
Analyst2,415117,50:59.5,,,,,
Analyst2,492834,51:02.5,,,,,
Analyst2,572361,51:05.5,,,,,
Analyst2,516911,51:08.5,,,,,
Analyst2,561560,51:11.5,,,,,
Analyst2,503167,51:14.6,,,,,
Analyst2,441127,51:17.6,,,,,
Analyst2,414874,51:20.6,,,,,
Analyst2,452325,51:23.6,,,,,
Analyst2,530446,51:26.6,,,,,
Analyst2,403661,51:29.6,,,,,
Analyst2,994917,51:32.7,,,,,
Analyst2,665167,51:35.7,,,,,
Analyst2,952465,51:38.7,,,,,
Analyst2,771624,51:41.7,,,,,
Analyst2,874927,51:44.7,,,,,
Analyst2,677205,51:47.7,,,,,
Analyst2,991128,51:50.8,,,,,
Analyst2,975871,51:53.8,,,,,
Analyst2,842935,51:56.8,,,,,
Analyst2,919456,51:59.8,,,,,
Analyst2,958436,52:02.8,,,,,
Analyst2,647414,52:05.8,,,,,
Analyst2,767957,52:08.9,,,,,
Analyst2,768415,52:11.9,,,,,
Analyst2,927850,52:14.9,,,,,
Analyst2,798822,52:17.9,,,,,
Analyst2,990180,52:20.9,,,,,
Analyst2,869578,52:23.9,,,,,
Analyst2,697223,52:26.9,,,,,
Analyst2,917622,52:30.0,,,,,
Analyst2,856500,52:33.0,,,,,
Analyst2,723153,52:36.0,,,,,
Analyst2,746739,52:39.0,,,,,
Analyst2,763896,52:42.0,,,,,
Analyst2,762122,52:45.0,,,,,
Analyst2,861510,52:48.1,,,,,
Analyst2,800094,52:51.1,,,,,
Analyst2,791973,52:54.1,,,,,
Analyst2,710430,52:57.1,,,,,
Analyst2,821539,53:00.1,,,,,
Analyst2,700209,53:03.1,,,,,
Analyst2,735103,53:06.2,,,,,
Analyst2,990874,53:09.2,,,,,
Analyst2,794484,53:12.2,,,,,
Analyst2,675567,53:15.2,,,,,
Analyst2,710684,53:18.2,,,,,
Analyst2,867019,53:21.3,,,,,
Analyst2,983589,53:28.3,,,,,
Analyst2,626142,53:31.3,,,,,
Analyst2,976883,53:34.3,,,,,
Analyst2,684590,53:37.3,,,,,
Analyst2,659374,53:40.3,,,,,
Analyst2,778227,53:43.3,,,,,
Analyst2,710619,53:46.3,,,,,
Analyst2,616371,53:49.3,,,,,
Analyst2,848075,53:52.4,,,,,
Analyst2,654045,53:55.4,,,,,
Analyst2,702800,53:58.4,,,,,
Analyst2,775296,54:01.4,,,,,
Analyst2,671583,54:04.4,,,,,
Analyst2,740540,54:07.4,,,,,
Analyst2,918211,54:10.4,,,,,
Analyst2,944874,54:13.5,,,,,
Analyst2,658001,54:16.5,,,,,
Analyst2,740115,54:19.5,,,,,
Analyst2,948845,54:22.5,,,,,
Analyst2,892694,54:25.5,,,,,
Analyst2,812298,54:28.5,,,,,
Analyst2,869303,54:31.6,,,,,
Analyst2,901488,54:35.6,,,,,
Analyst2,728117,54:38.6,,,,,
Analyst2,969554,54:41.6,,,,,
Analyst2,692883,54:44.6,,,,,
Analyst2,926731,54:47.6,,,,,
Analyst2,745207,54:50.6,,,,,
Analyst2,900425,54:53.7,,,,,
Analyst2,979405,54:56.7,,,,,
Analyst2,936686,54:59.7,,,,,
Analyst2,930205,55:02.7,,,,,
Analyst2,767208,55:05.7,,,,,
Analyst2,683696,55:08.7,,,,,
Analyst2,850660,55:11.7,,,,,
Analyst2,762664,55:14.7,,,,,
Analyst2,980735,55:17.8,,,,,
Analyst2,744886,55:20.8,,,,,
Analyst2,612184,55:23.8,,,,,
Analyst2,691841,55:26.8,,,,,
Analyst2,831539,55:29.8,,,,,
Analyst2,746686,55:32.8,,,,,
Analyst2,707818,55:35.9,,,,,
Analyst2,986536,55:38.9,,,,,
Analyst2,667525,55:41.9,,,,,
Analyst2,716966,55:45.9,,,,,
Analyst2,788055,55:48.9,,,,,
Analyst2,655238,55:52.0,,,,,
Analyst2,721572,55:55.0,,,,,
Analyst2,636730,55:58.0,,,,,
Analyst2,643904,56:01.0,,,,,
Analyst2,804068,56:04.0,,,,,
Analyst2,692801,56:07.0,,,,,
Analyst2,724304,56:10.0,,,,,
Analyst2,727688,56:13.1,,,,,
Analyst2,919692,56:16.1,,,,,
Analyst2,808216,56:19.1,,,,,
Analyst2,955870,56:22.1,,,,,
Analyst2,691463,56:25.1,,,,,
Analyst2,957472,56:28.1,,,,,
Analyst2,938873,56:31.1,,,,,
Analyst2,839480,56:34.1,,,,,
Analyst2,612539,56:37.2,,,,,
Analyst2,701072,56:40.2,,,,,
Analyst2,825876,56:43.2,,,,,
